2020-02-04,ES,Barcelona,so2,143,0.6,11.2,1.1,17.65
2020-05-04,ES,Barcelona,so2,147,0.6,3.1,1.1,3.54
2020-07-14,ES,Barcelona,so2,112,0.6,2.1,1.1,2.20
2020-11-30,ES,Barcelona,so2,194,0.6,44.6,1.1,397.96
2021-01-17,ES,Barcelona,so2,89,0.6,15.2,1.1,58.03
2020-01-29,ES,Barcelona,so2,162,0.6,10.2,1.6,28.47
2020-02-03,ES,Barcelona,so2,194,0.6,14.7,1.6,47.70
2020-07-20,ES,Barcelona,so2,109,0.6,3.1,1.1,5.42
2020-10-10,ES,Barcelona,so2,55,0.6,1.6,0.6,0.91
2020-10-13,ES,Barcelona,so2,105,0.6,6.6,1.1,8.52
2020-12-16,ES,Barcelona,so2,193,0.6,9.2,1.1,28.97
2020-05-20,ES,Barcelona,so2,173,0.6,7.1,1.1,7.83
2020-07-13,ES,Barcelona,so2,116,0.6,2.1,1.1,1.84
2020-07-17,ES,Barcelona,so2,80,0.6,2.1,0.6,2.71
2020-10-25,ES,Barcelona,so2,71,0.6,5.6,2.1,12.60
2020-11-07,ES,Barcelona,so2,54,0.6,1.1,0.6,0.63
2020-02-28,ES,Barcelona,so2,86,0.6,5.1,1.1,16.46
2020-03-02,ES,Barcelona,so2,79,0.6,40.1,1.1,498.85
2020-08-11,ES,Barcelona,so2,127,0.6,2.6,1.1,1.96
2020-11-23,ES,Barcelona,so2,153,0.6,22.8,1.1,101.28
2020-11-26,ES,Barcelona,so2,107,0.6,157.7,1.1,4517.53
2020-01-23,ES,Barcelona,so2,120,0.6,2.6,1.1,3.34
2020-11-18,ES,Barcelona,so2,149,0.6,9.2,1.1,17.02
2020-11-19,ES,Barcelona,so2,140,0.6,12.7,1.1,38.72
2021-01-14,ES,Barcelona,so2,132,0.6,8.2,1.6,29.07
2020-05-18,ES,Barcelona,so2,140,0.6,5.1,1.1,9.93
2020-08-19,ES,Barcelona,so2,117,0.6,2.1,1.1,1.57
2020-01-25,ES,Barcelona,so2,104,0.6,8.7,1.1,16.28
2020-04-16,ES,Barcelona,so2,75,0.6,2.1,0.6,2.77
2020-07-30,ES,Barcelona,so2,109,0.6,2.1,1.1,2.50
2020-08-22,ES,Barcelona,so2,60,0.6,2.1,0.6,1.63
2020-09-02,ES,Barcelona,so2,103,0.6,97.8,1.1,1800.89
2020-11-02,ES,Barcelona,so2,109,0.6,9.7,1.1,26.65
2020-12-18,ES,Barcelona,so2,122,0.6,51.9,1.1,824.05
2020-10-12,ES,Barcelona,so2,65,0.6,2.6,0.6,1.62
2020-01-09,ES,Barcelona,so2,166,0.6,11.2,1.1,19.75
2020-03-15,ES,Barcelona,so2,95,0.6,4.1,1.1,3.78
2020-03-22,ES,Barcelona,so2,87,0.6,2.6,1.1,1.96
2020-05-17,ES,Barcelona,so2,89,0.6,1.6,1.1,1.10
2020-07-19,ES,Barcelona,so2,74,0.6,1.6,1.1,1.13
2020-08-30,ES,Barcelona,so2,68,0.6,1.1,0.6,0.63
2020-09-18,ES,Barcelona,so2,101,0.6,2.6,0.6,2.48
2020-04-08,ES,Barcelona,so2,95,0.6,2.1,0.6,2.24
2020-08-17,ES,Barcelona,so2,61,0.6,1.6,0.6,0.70
2020-08-21,ES,Barcelona,so2,42,0.6,1.6,0.6,0.97
2020-12-19,ES,Barcelona,so2,92,0.6,5.6,1.1,5.74
2020-03-31,ES,Barcelona,so2,76,0.6,2.1,1.1,2.16
2020-05-22,ES,Barcelona,so2,162,0.6,4.1,1.1,3.70
2020-10-09,ES,Barcelona,so2,116,0.6,4.1,1.1,7.39
2020-12-08,ES,Barcelona,so2,66,0.6,7.1,1.1,20.03
2021-01-19,ES,Barcelona,so2,66,0.6,11.7,2.1,73.40
2021-01-02,ES,Barcelona,so2,110,0.6,5.1,0.6,3.18
2020-01-30,ES,Barcelona,so2,166,0.6,8.2,1.6,16.52
2020-02-07,ES,Barcelona,so2,149,0.6,6.1,1.1,13.98
2020-04-18,ES,Barcelona,so2,96,0.6,3.6,1.1,3.63
2020-05-10,ES,Barcelona,so2,56,0.6,1.6,1.1,1.05
2020-05-13,ES,Barcelona,so2,98,0.6,1.6,0.6,1.13
2020-08-04,ES,Barcelona,so2,45,0.6,1.1,0.6,0.55
2020-12-22,ES,Barcelona,so2,188,0.6,8.7,1.1,19.75
2020-05-15,ES,Barcelona,so2,92,0.6,14.7,1.1,45.37
2020-05-23,ES,Barcelona,so2,130,0.6,5.1,1.1,4.20
2020-07-06,ES,Barcelona,so2,128,0.6,2.6,1.1,2.17
2020-07-10,ES,Barcelona,so2,124,0.6,2.6,0.6,2.10
2020-12-14,ES,Barcelona,so2,191,0.6,18.3,1.6,59.94
2021-01-11,ES,Barcelona,so2,82,0.6,2.6,0.6,1.77
2019-12-30,ES,Barcelona,so2,72,0.6,4.1,1.6,8.34
2020-01-03,ES,Barcelona,so2,130,0.6,22.8,1.1,197.99
2020-01-27,ES,Barcelona,so2,107,0.6,6.6,1.1,11.09
2020-06-17,ES,Barcelona,so2,98,0.6,3.6,1.1,6.70
2020-10-04,ES,Barcelona,so2,93,0.6,8.7,1.1,22.36
2020-10-07,ES,Barcelona,so2,117,0.6,3.6,1.1,5.56
2020-11-27,ES,Barcelona,so2,47,0.6,4.6,0.6,10.02
2020-02-29,ES,Barcelona,so2,101,0.6,3.6,1.1,3.66
2020-07-23,ES,Barcelona,so2,129,0.6,3.6,1.1,5.57
2020-09-11,ES,Barcelona,so2,59,0.6,3.6,0.6,3.43
2020-11-10,ES,Barcelona,so2,151,0.6,6.1,1.1,23.84
2020-11-15,ES,Barcelona,so2,125,0.6,7.1,1.1,16.30
2020-12-13,ES,Barcelona,so2,87,0.6,2.1,1.1,1.34
2020-12-21,ES,Barcelona,so2,123,0.6,9.7,1.1,19.37
2020-02-01,ES,Barcelona,so2,140,0.6,13.7,1.1,40.40
2020-03-19,ES,Barcelona,so2,121,0.6,3.6,1.1,2.03
2020-04-06,ES,Barcelona,so2,78,0.6,2.1,0.6,2.07
2020-06-09,ES,Barcelona,so2,101,0.6,1.6,1.1,0.98
2020-07-27,ES,Barcelona,so2,88,0.6,1.6,0.6,0.73
2020-01-04,ES,Barcelona,so2,145,0.6,17.8,1.1,116.94
2020-02-06,ES,Barcelona,so2,160,0.6,11.7,1.1,23.13
2020-04-05,ES,Barcelona,so2,92,0.6,2.1,1.1,2.42
2020-04-20,ES,Barcelona,so2,39,0.6,2.1,1.1,2.31
2020-05-14,ES,Barcelona,so2,81,0.6,5.6,1.1,13.67
2020-06-24,ES,Barcelona,so2,94,0.6,2.6,1.1,3.04
2020-07-01,ES,Barcelona,so2,84,0.6,9.2,1.1,21.22
